Team Name,League,Home Ground,API_ID,Matches (Home Team),Matches (Away Team),Historical Stats (Home Team),Historical Stats (Away Team)
,,,,Unnamed record,,,
Arsenal FC,Premier League,,57,,,"26,39","2,3,5,6,15,32"
Aston Villa FC,Premier League,,58,,,"4,7,31,53","17,43"
Chelsea FC,Premier League,,61,,,"9,40","26,31,50"
Everton FC,Premier League,,62,,,"16,28,50","21,39"
Fulham FC,Premier League,,63,,,"24,33,49","12,44"
Liverpool FC,Premier League,,64,,,"20,45","14,30,48"
Manchester City FC,Premier League,,65,,,"11,34","22,41"
Manchester United FC,Premier League,,66,,,"25,43","16,35,47"
Newcastle United FC,Premier League,,67,,,"21,35,52","11,40"
Sunderland AFC,Premier League,,71,,,"12,37","18,29,52"
Tottenham Hotspur FC,Premier League,,73,,,"15,36,54","24,45"
Wolverhampton Wanderers FC,Premier League,,76,,,"3,6,17,30","13,46"
Burnley FC,Premier League,,328,,,"19,38","9,28,49"
Leeds United FC,Premier League,,341,,,"22,29,51","4,7,42"
Nottingham Forest FC,Premier League,,351,,,"14,44","23,34,54"
Crystal Palace FC,Premier League,,354,,,"13,42","25,36"
Brighton & Hove Albion FC,Premier League,,397,,,"23,32,48","8,37"
Brentford FC,Premier League,,402,,,"2,5,8,46","19,27,51"
West Ham United FC,Premier League,,563,,,"10,41","20,33,53"
AFC Bournemouth,Premier League,,1044,,,"18,27,47","10,38"